symbol,name,sector
RELIANCE,Reliance Industries Ltd.,Energy
TCS,Tata Consultancy Services Ltd.,Technology
HDFCBANK,HDFC Bank Ltd.,Financials
ICICIBANK,ICICI Bank Ltd.,Financials
INFY,Infosys Ltd.,Technology
HINDUNILVR,Hindustan Unilever Ltd.,Consumer Staples
ITC,ITC Ltd.,Consumer Staples
SBIN,State Bank of India,Financials
BHARTIARTL,Bharti Airtel Ltd.,Communication Services
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financials
LT,Larsen & Toubro Ltd.,Industrials
AXISBANK,Axis Bank Ltd.,Financials
BAJFINANCE,Bajaj Finance Ltd.,Financials
ASIANPAINT,Asian Paints Ltd.,Materials
MARUTI,Maruti Suzuki India Ltd.,Consumer Discretionary
HCLTECH,HCL Technologies Ltd.,Technology
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
TITAN,Titan Company Ltd.,Consumer Discretionary
ULTRACEMCO,UltraTech Cement Ltd.,Materials
WIPRO,Wipro Ltd.,Technology
NESTLEIND,Nestle India Ltd.,Consumer Staples
ADANIENT,Adani Enterprises Ltd.,Industrials
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Industrials
ONGC,Oil & Natural Gas Corp. Ltd.,Energy
NTPC,NTPC Ltd.,Utilities
POWERGRID,Power Grid Corp. of India Ltd.,Utilities
M&M,Mahindra & Mahindra Ltd.,Consumer Discretionary
TATAMOTORS,Tata Motors Ltd.,Consumer Discretionary
TATASTEEL,Tata Steel Ltd.,Materials
JSWSTEEL,JSW Steel Ltd.,Materials
COALINDIA,Coal India Ltd.,Energy
BAJAJFINSV,Bajaj Finserv Ltd.,Financials
HDFCLIFE,HDFC Life Insurance Co. Ltd.,Financials
SBILIFE,SBI Life Insurance Co. Ltd.,Financials
INDUSINDBK,IndusInd Bank Ltd.,Financials
GRASIM,Grasim Industries Ltd.,Materials
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
CIPLA,Cipla Ltd.,Healthcare
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
EICHERMOT,Eicher Motors Ltd.,Consumer Discretionary
BRITANNIA,Britannia Industries Ltd.,Consumer Staples
HEROMOTOCO,Hero MotoCorp Ltd.,Consumer Discretionary
BPCL,Bharat Petroleum Corp. Ltd.,Energy
TECHM,Tech Mahindra Ltd.,Technology
UPL,UPL Ltd.,Materials
SHREECEM,Shree Cement Ltd.,Materials
HINDALCO,Hindalco Industries Ltd.,Materials
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
BAJAJ-AUTO,Bajaj Auto Ltd.,Consumer Discretionary
TATACONSUM,Tata Consumer Products Ltd.,Consumer Staples
